,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,state,x,y
0,0,0,0,1,3,Arkansas,57,-53
1,1,1,1,3,5,Colorado,-112,20
2,2,2,2,4,6,Connecticut,297,96
3,3,3,3,5,7,Delaware,275,42
4,4,4,4,6,8,Florida,220,-145
5,5,5,5,7,9,Georgia,182,-75
6,6,6,6,8,10,Hawaii,-317,-143
7,7,7,7,9,11,Idaho,-216,122
8,8,8,8,10,12,Illinois,95,37
9,9,9,9,11,13,Indiana,133,39
10,10,10,10,12,14,Iowa,38,65
11,11,11,11,13,15,Kansas,-17,5
12,12,12,12,14,16,Kentucky,149,1
13,13,13,13,15,17,Louisiana,59,-114
14,14,14,14,16,18,Maine,319,164
15,15,15,15,17,19,Maryland,288,27
16,16,16,16,18,20,Massachusetts,312,112
17,17,17,17,19,21,Michigan,148,101
18,18,18,18,20,22,Minnesota,23,135
19,19,19,19,21,23,Mississippi,94,-78
20,20,20,20,22,24,Missouri,49,6
21,21,21,21,23,25,Montana,-141,60
22,22,22,22,24,26,Nebraska,-61,66
23,23,23,23,25,27,Nevada,-257,56
24,24,24,24,26,28,New Hampshire,302,127
25,25,25,25,27,29,New Jersey,282,65
26,26,26,26,28,30,New Mexico,-128,-43
27,27,27,27,29,31,New York,236,104
28,28,28,28,30,32,North Carolina,239,-22
29,29,29,29,31,33,North Dakota,-44,158
30,30,30,30,32,34,Ohio,176,52
31,31,31,31,33,35,Oklahoma,-8,-41
32,32,32,32,34,36,Oregon,-278,138
33,33,33,33,35,37,Pennsylvania,238,72
34,34,34,34,36,38,Rhode Island,318,94
35,35,35,35,37,39,South Carolina,218,-51
36,36,36,36,38,40,South Dakota,-44,109
37,37,37,37,39,41,Tennessee,131,-34
38,38,38,38,40,43,Utah,-189,34
39,39,39,39,41,44,Vermont,282,154
40,40,40,40,42,45,Virginia,234,12
41,41,41,41,43,46,Washington,-257,193
42,42,42,42,44,47,West Virginia,200,20
43,43,43,43,45,48,Wisconsin,83,113
44,44,44,44,46,49,Wyoming,-134,90
